id,channel,message,timestamp
43,social_media,Add a live chat support option.,2025-04-02 01:55:47
44,social_media,Your website is very easy to navigate.,2025-03-29 06:28:27
45,social_media,The product I received is defective.,2025-04-14 07:39:42
46,email,Would love to see more color variants.,2025-04-07 22:00:19
47,social_media,Introduce dark mode in the app.,2025-04-01 01:40:45
48,website_form,"No issues so far, satisfied with the service.",2025-04-11 06:33:45
49,email,Loved the packaging of the product.,2025-04-08 04:13:50
50,social_media,Would love to see more color variants.,2025-04-07 00:40:34
51,website_form,The delivery was delayed by more than a week.,2025-04-13 02:54:23
52,social_media,"No issues so far, satisfied with the service.",2025-04-18 04:35:19
53,social_media,Refund process is taking too long.,2025-03-27 08:16:36
54,email,Customer service is not responding to my emails.,2025-03-21 18:35:34
55,social_media,I have not received my order yet.,2025-03-21 21:36:51
56,social_media,App update installed smoothly.,2025-04-16 11:24:13
57,social_media,The product I received is defective.,2025-04-09 07:26:06
58,social_media,App UI looks clean and user-friendly.,2025-04-14 20:39:30
59,email,Please add more payment options.,2025-04-13 03:13:12
60,website_form,App UI looks clean and user-friendly.,2025-03-20 03:00:35
61,website_form,Thanks for the quick support.,2025-03-24 06:54:15
62,social_media,"Good experience overall, keep it up!",2025-04-14 20:15:08
63,email,It would be great to have offline access.,2025-03-24 12:37:11
64,website_form,Thanks for the quick support.,2025-04-03 06:23:35
65,email,Introduce dark mode in the app.,2025-03-31 00:11:11
66,website_form,The product I received is defective.,2025-03-26 23:33:03
67,email,Kindly expand your delivery areas.,2025-04-09 07:49:08
68,email,App update installed smoothly.,2025-03-29 11:57:15
69,social_media,The delivery was delayed by more than a week.,2025-03-23 18:04:04
70,website_form,Can you provide a loyalty rewards program?,2025-03-20 14:40:08
71,social_media,Please allow login using social accounts.,2025-04-09 21:53:05
72,social_media,Please allow login using social accounts.,2025-04-07 10:31:43
73,social_media,Add a live chat support option.,2025-04-10 04:57:26
74,social_media,I have not received my order yet.,2025-04-13 10:06:17
75,social_media,Would love to see more color variants.,2025-04-02 15:09:19
76,social_media,The product I received is defective.,2025-04-04 07:37:51
77,website_form,The product I received is defective.,2025-03-29 05:48:51
78,website_form,Customer service is not responding to my emails.,2025-03-28 05:31:23
79,website_form,Please add more payment options.,2025-04-12 06:39:29
80,email,Customer service is not responding to my emails.,2025-03-24 07:25:39
81,email,I have not received my order yet.,2025-04-11 06:11:20
82,website_form,"Good experience overall, keep it up!",2025-03-24 15:31:04
83,social_media,Can you provide a loyalty rewards program?,2025-04-09 11:29:59
84,social_media,Introduce dark mode in the app.,2025-04-03 02:46:24
85,email,Loved the packaging of the product.,2025-04-05 14:07:15
86,social_media,The app crashes every time I open it.,2025-04-09 11:06:18
87,email,Thanks for the quick support.,2025-03-21 23:21:22
88,social_media,Loved the packaging of the product.,2025-03-21 12:35:52
89,website_form,Please add more payment options.,2025-04-04 09:08:22
90,email,The delivery was delayed by more than a week.,2025-04-05 13:51:08
91,website_form,Loved the packaging of the product.,2025-04-16 22:21:25
92,email,Would love to see more color variants.,2025-04-02 18:54:24
93,email,My payment failed while checking out.,2025-04-09 02:17:44
94,website_form,App UI looks clean and user-friendly.,2025-04-03 21:46:23
95,email,Would love to see more color variants.,2025-03-24 20:55:38
96,email,Thanks for the quick support.,2025-04-09 09:20:32
97,social_media,The product I received is defective.,2025-03-30 17:38:45
98,social_media,Refund process is taking too long.,2025-03-24 01:05:54
99,email,App update installed smoothly.,2025-04-02 01:05:12
100,social_media,My payment failed while checking out.,2025-03-22 09:16:23
